date,Open,High,Low,Close,Volume,avg_sentiment,max_sentiment,min_sentiment,sentiment_std,news_count,pos_ratio,neg_ratio,neu_ratio,rsi,macd,macd_signal,bb_high,bb_low,bb_width,ema_20,atr,volume_ma7,volume_ratio,sentiment_lag1,sentiment_lag2,sentiment_lag3,sentiment_roll3,sentiment_roll7,price_change_1d,price_change_3d,price_change_5d,high_low_ratio,target,ticker
2025-04-30,279.8999938964844,284.45001220703125,270.7799987792969,282.1600036621094,128961100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.99769100905278,2.0131459915783694,,297.59931088961577,215.56569307766944,31.971633754345437,264.73370671141765,21.267205648281827,131837828.57142857,0.9781797940500061,0.0,0.0,0.0,0.0,0.0,-0.03379788089732105,-0.009791221005089112,0.1253090750602297,1.0504838373933088,0,TSLA
2025-05-01,280.010009765625,290.8699951171875,279.8099975585937,280.5199890136719,99659000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.22683871679312,2.921219803980307,,297.2120854786431,215.72891641344677,31.770971228515034,266.23716216877517,20.538119356161253,128809328.57142857,0.7736939638244923,0.0,0.0,0.0,0.0,0.0,-0.005812356915055328,-0.018749180696767453,0.08096018826796669,1.0395268133915687,1,TSLA
2025-05-02,284.8999938964844,294.7799987792969,279.8099975585937,287.2099914550781,114454700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.68166065695113,4.133058799860578,,300.14625632329614,214.78774483637184,33.153185182835415,268.2345744817564,20.140396632199963,123676871.42857143,0.9254333383271454,0.0,0.0,0.0,0.0,0.0,0.023848576584252656,-0.01650517872946844,0.007931142836396399,1.0535005945152778,0,TSLA
2025-05-05,284.57000732421875,284.8500061035156,274.3999938964844,280.260009765625,94618900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.21725331016387,4.480990427675238,,302.44666034435414,216.57034252429816,33.091909261319024,269.37985403260103,19.616796698370944,123698971.42857143,0.764912585022072,0.0,0.0,0.0,0.0,0.0,-0.024198258752220814,-0.006733746356055614,-0.019658580597447628,1.0380831357123625,0,TSLA
2025-05-06,273.1099853515625,277.7300109863281,271.3500061035156,275.3500061035156,76715800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.84368105436987,4.310839810579125,,303.309267769945,219.91373638044558,31.8776241594794,269.94843994411667,18.852025767209405,110721128.57142857,0.6928740791375604,0.0,0.0,0.0,0.0,0.0,-0.017519458684867262,-0.018429998262634584,-0.057117394601597926,1.023512086748871,1,TSLA
2025-05-07,276.8800048828125,277.9200134277344,271.0,276.2200012207031,71592600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.227334813013606,4.197805862822747,,302.22143849045887,226.43756572096692,28.67022869781059,270.5457314942677,17.999739171532617,99272671.42857143,0.7211712848033129,0.0,0.0,0.0,0.0,0.0,0.003159597232260225,-0.03826465151402614,-0.021051893834391544,1.0255351048993888,1,TSLA
2025-05-08,279.6300048828125,289.79998779296875,279.4100036621094,284.82000732421875,97539400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.95541080239161,4.74744863152398,,303.76500385797715,226.15599986516736,29.29078237984179,271.90518633521543,17.68404255729926,97648785.71428572,0.998879804664384,0.0,0.0,0.0,0.0,0.0,0.031134624811778533,0.0162705965878156,0.015328741191192874,1.0371854407311198,1,TSLA
2025-05-09,290.2099914550781,307.0400085449219,290.0,298.260009765625,132387800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.04669676110817,6.196115398549921,,308.1799749913548,226.3270303187038,30.62745440545516,274.41516951906397,18.00803960468525,98138314.28571428,1.3489919911867827,0.0,0.0,0.0,0.0,0.0,0.04718770485146129,0.08320320738796916,0.038473655650225425,1.0587586501549031,1,TSLA
2025-05-12,321.989990234375,322.2099914550781,311.5,318.3800048828125,112826700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.12488199337186,8.86551358265018,5.125786115132622,316.485707077787,224.62829896469344,33.95122177114087,278.6022966965638,18.432464039311526,100019414.28571428,1.1280479975387636,0.0,0.0,0.0,0.0,0.0,0.06745790403815088,0.15263197261527428,0.13601653389317425,1.0343819950403792,1,TSLA
2025-05-13,320.0,337.5899963378906,316.79998779296875,334.07000732421875,136992600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.90367951846963,12.1075150489076,6.522131901887619,327.3985304332968,221.88747573125403,38.41752876203243,283.88493580395954,18.60086007542655,103239114.28571428,1.326944743257608,0.0,0.0,0.0,0.0,0.0,0.049280740626853614,0.17291622334640744,0.21325585588920526,1.06562502950129,1,TSLA
